N = 16
k = 14 , l = 10 , inner_product =  -3.0531133177191805e-16
k = 14 , l = 11 , inner_product =  4.718447854656915e-16
k = 14 , l = 12 , inner_product =  -9.853229343548264e-16
k = 14 , l = 13 , inner_product =  8.881784197001252e-16
k = 14 , l = 14 , inner_product =  0.9999999999999996
k = 14 , l = 15 , inner_product =  1.2906342661267445e-15
k = 15 , l = 0 , inner_product =  9.43689570931383e-16
k = 15 , l = 1 , inner_product =  -1.1657341758564144e-15
k = 15 , l = 2 , inner_product =  6.800116025829084e-16
k = 15 , l = 3 , inner_product =  4.440892098500626e-16
k = 15 , l = 4 , inner_product =  -1.4224732503009818e-16
k = 15 , l = 5 , inner_product =  -2.8449465006019636e-16
k = 15 , l = 6 , inner_product =  2.220446049250313e-16
k = 15 , l = 7 , inner_product =  -5.551115123125783e-17
k = 15 , l = 8 , inner_product =  3.3306690738754696e-16
k = 15 , l = 9 , inner_product =  -8.326672684688674e-17
k = 15 , l = 10 , inner_product =  5.551115123125783e-17
k = 15 , l = 11 , inner_product =  -2.706168622523819e-16
k = 15 , l = 12 , inner_product =  4.961309141293668e-16
k = 15 , l = 13 , inner_product =  -1.2975731600306517e-15
k = 15 , l = 14 , inner_product =  1.2906342661267445e-15
k = 15 , l = 15 , inner_product =  0.9999999999999987
N = 64
k = 0 , l = 0 , inner_product =  1.0
k = 0 , l = 1 , inner_product =  4.85722573273506e-17
k = 0 , l = 2 , inner_product =  -3.9898639947466563e-17
k = 0 , l = 3 , inner_product =  8.326672684688674e-17
k = 0 , l = 4 , inner_product =  -8.673617379884035e-17
k = 0 , l = 5 , inner_product =  1.0061396160665481e-16
k = 0 , l = 6 , inner_product =  -6.591949208711867e-17
k = 0 , l = 7 , inner_product =  4.163336342344337e-17
k = 0 , l = 8 , inner_product =  -2.7755575615628914e-17
k = 0 , l = 9 , inner_product =  1.8735013540549517e-16
k = 0 , l = 10 , inner_product =  -1.8908485888147197e-16
k = 0 , l = 11 , inner_product =  1.734723475976807e-16
k = 0 , l = 12 , inner_product =  6.29704621779581e-16
k = 0 , l = 13 , inner_product =  1.3877787807814457e-16
k = 0 , l = 14 , inner_product =  -3.920475055707584e-16
k = 0 , l = 15 , inner_product =  2.7755575615628914e-16
k = 0 , l = 16 , inner_product =  -3.2612801348363973e-16
k = 0 , l = 17 , inner_product =  1.5959455978986625e-16
k = 0 , l = 18 , inner_product =  -1.5439038936193583e-16
k = 0 , l = 19 , inner_product =  5.551115123125783e-17
k = 0 , l = 20 , inner_product =  -6.375108774214766e-17
k = 0 , l = 21 , inner_product =  1.249000902703301e-16
k = 0 , l = 22 , inner_product =  -1.3877787807814457e-17
k = 0 , l = 23 , inner_product =  2.3592239273284576e-16
k = 0 , l = 24 , inner_product =  -4.579669976578771e-16
k = 0 , l = 25 , inner_product =  -1.249000902703301e-16
k = 0 , l = 26 , inner_product =  -2.8102520310824275e-16
k = 0 , l = 27 , inner_product =  6.661338147750939e-16
k = 0 , l = 28 , inner_product =  4.978656376053436e-16
k = 0 , l = 29 , inner_product =  -8.326672684688674e-17
k = 0 , l = 30 , inner_product =  -5.915407053080912e-16
k = 0 , l = 31 , inner_product =  9.43689570931383e-16
k = 0 , l = 32 , inner_product =  -1.3877787807814457e-16
k = 0 , l = 33 , inner_product =  1.3877787807814457e-15
k = 0 , l = 34 , inner_product =  3.122502256758253e-16
k = 0 , l = 35 , inner_product =  -3.469446951953614e-16
k = 0 , l = 36 , inner_product =  8.096821824121747e-16
